CODCARRERA,EGRESO,LUGAR_LISTA,PREFERENCIA,DEPENDENCIA,COD_REGION_COLEGIO,PTJE_LENG,PTJE_MAT,PTJE_CIENCIAS,PTJE_HIST,PTJE_RANKING,RETENCION_AL_PRIMER_AÑO,RETENCION_AL_TERCER_AÑO,EXTRANJERO,CIUDAD_SEDE,GRATUIDAD,ETNIA,SEXO_(1F),TIPO_INGRESO_IEP-Excepción Lista espera Rep,TIPO_INGRESO_IRP-Lista de selección,TIPO_INGRESO_Otro ingreso,TIPO_COLEGIO_H1,TIPO_COLEGIO_H2,TIPO_COLEGIO_ND,TIPO_COLEGIO_T1,TIPO_COLEGIO_T2,TIPO_COLEGIO_T3,TIPO_COLEGIO_T5,EDAD_INGRESO
8453,0,0.0,1.0,5.0,2.0,612.0,623.0,601.0,0.0,476.0,0,0,0,1,0,0,0,False,False,True,False,False,True,False,False,False,False,18
8453,2005,1.0,1.0,3.0,2.0,496.0,495.0,545.0,0.0,649.0,1,1,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,31
8453,2017,1.0,1.0,3.0,2.0,256.0,363.0,392.0,0.0,675.0,1,1,0,1,0,0,1,False,False,True,False,False,False,False,True,False,False,19
8453,2017,2.0,1.0,2.0,2.0,415.0,570.0,457.0,0.0,587.0,1,1,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,18
8453,2017,3.0,3.0,2.0,4.0,458.0,518.0,425.0,559.0,577.0,0,0,0,0,0,0,0,False,True,False,False,True,False,False,False,False,False,19
8453,2017,7.0,2.0,3.0,2.0,442.0,481.0,443.0,0.0,607.0,0,0,0,1,0,0,1,False,True,False,False,False,False,False,False,True,False,19
8453,2008,8.0,2.0,2.0,2.0,474.0,570.0,558.0,0.0,476.0,0,0,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,29
8453,2017,10.0,1.0,3.0,2.0,474.0,481.0,349.0,0.0,605.0,1,1,0,0,0,0,1,False,True,False,False,False,False,False,True,False,False,18
8453,2017,11.0,2.0,2.0,2.0,517.0,507.0,576.0,0.0,482.0,1,0,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,18
8103,2017,1.0,1.0,2.0,2.0,663.0,725.0,678.0,590.0,753.0,1,1,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,18
8103,2017,2.0,1.0,3.0,2.0,580.0,644.0,601.0,530.0,850.0,1,1,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,18
8103,2017,4.0,2.0,2.0,2.0,628.0,676.0,629.0,0.0,745.0,1,1,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,18
8103,2017,5.0,1.0,2.0,2.0,596.0,689.0,678.0,0.0,702.0,1,1,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,19
8103,2017,5.0,1.0,3.0,2.0,530.0,601.0,523.0,0.0,526.0,1,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,19
8103,2017,7.0,1.0,3.0,2.0,517.0,596.0,514.0,0.0,822.0,1,1,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,19
8103,2012,9.0,1.0,2.0,2.0,551.0,623.0,570.0,0.0,717.0,1,1,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,24
8103,2017,10.0,1.0,2.0,2.0,530.0,627.0,651.0,0.0,672.0,1,0,0,1,0,1,0,False,True,False,True,False,False,False,False,False,False,18
